AMT;TID;BEBO;INDHOLD
Region Syddanmark;2010;Occupied dwellings;550650
Region Syddanmark;2011;Occupied dwellings;553510
Region Syddanmark;2012;Occupied dwellings;555231
Region Syddanmark;2013;Occupied dwellings;557332
Region Syddanmark;2014;Occupied dwellings;559665
Region Syddanmark;2015;Occupied dwellings;562470
Province Fyn;2010;Occupied dwellings;226290
Province Fyn;2011;Occupied dwellings;227361
Province Fyn;2012;Occupied dwellings;227960
Province Fyn;2013;Occupied dwellings;228873
Province Fyn;2014;Occupied dwellings;229862
Province Fyn;2015;Occupied dwellings;230858
Assens;2010;Occupied dwellings;18380
Assens;2011;Occupied dwellings;18443
Assens;2012;Occupied dwellings;18521
Assens;2013;Occupied dwellings;18586
Assens;2014;Occupied dwellings;18565
Assens;2015;Occupied dwellings;18585
Faaborg-Midtfyn;2010;Occupied dwellings;23256
Faaborg-Midtfyn;2011;Occupied dwellings;23179
Faaborg-Midtfyn;2012;Occupied dwellings;23244
Faaborg-Midtfyn;2013;Occupied dwellings;23219
Faaborg-Midtfyn;2014;Occupied dwellings;23239
Faaborg-Midtfyn;2015;Occupied dwellings;23319
Kerteminde;2010;Occupied dwellings;10635
Kerteminde;2011;Occupied dwellings;10739
Kerteminde;2012;Occupied dwellings;10805
Kerteminde;2013;Occupied dwellings;10852
Kerteminde;2014;Occupied dwellings;10905
Kerteminde;2015;Occupied dwellings;10919
Langeland;2010;Occupied dwellings;6832
Langeland;2011;Occupied dwellings;6772
Langeland;2012;Occupied dwellings;6734
Langeland;2013;Occupied dwellings;6689
Langeland;2014;Occupied dwellings;6594
Langeland;2015;Occupied dwellings;6599
Middelfart;2010;Occupied dwellings;16696
Middelfart;2011;Occupied dwellings;16836
Middelfart;2012;Occupied dwellings;16891
Middelfart;2013;Occupied dwellings;16953
Middelfart;2014;Occupied dwellings;17049
Middelfart;2015;Occupied dwellings;17141
Nordfyns;2010;Occupied dwellings;12799
Nordfyns;2011;Occupied dwellings;12816
Nordfyns;2012;Occupied dwellings;12843
Nordfyns;2013;Occupied dwellings;12886
Nordfyns;2014;Occupied dwellings;12899
Nordfyns;2015;Occupied dwellings;12950
Nyborg;2010;Occupied dwellings;14477
Nyborg;2011;Occupied dwellings;14551
Nyborg;2012;Occupied dwellings;14533
Nyborg;2013;Occupied dwellings;14579
Nyborg;2014;Occupied dwellings;14654
Nyborg;2015;Occupied dwellings;14907
Odense;2010;Occupied dwellings;92067
Odense;2011;Occupied dwellings;92797
Odense;2012;Occupied dwellings;93221
Odense;2013;Occupied dwellings;93961
Odense;2014;Occupied dwellings;94841
Odense;2015;Occupied dwellings;95199
Svendborg;2010;Occupied dwellings;27600
Svendborg;2011;Occupied dwellings;27664
Svendborg;2012;Occupied dwellings;27604
Svendborg;2013;Occupied dwellings;27613
Svendborg;2014;Occupied dwellings;27629
Svendborg;2015;Occupied dwellings;27789
Ærø;2010;Occupied dwellings;3548
Ærø;2011;Occupied dwellings;3564
Ærø;2012;Occupied dwellings;3564
Ærø;2013;Occupied dwellings;3535
Ærø;2014;Occupied dwellings;3487
Ærø;2015;Occupied dwellings;3450
Province Sydjylland;2010;Occupied dwellings;324360
Province Sydjylland;2011;Occupied dwellings;326149
Province Sydjylland;2012;Occupied dwellings;327271
Province Sydjylland;2013;Occupied dwellings;328459
Province Sydjylland;2014;Occupied dwellings;329803
Province Sydjylland;2015;Occupied dwellings;331612
Billund;2010;Occupied dwellings;11521
Billund;2011;Occupied dwellings;11573
Billund;2012;Occupied dwellings;11669
Billund;2013;Occupied dwellings;11724
Billund;2014;Occupied dwellings;11798
Billund;2015;Occupied dwellings;11830
Esbjerg;2010;Occupied dwellings;53894
Esbjerg;2011;Occupied dwellings;54038
Esbjerg;2012;Occupied dwellings;54198
Esbjerg;2013;Occupied dwellings;54397
Esbjerg;2014;Occupied dwellings;54670
Esbjerg;2015;Occupied dwellings;54968
Fanø;2010;Occupied dwellings;1565
Fanø;2011;Occupied dwellings;1563
Fanø;2012;Occupied dwellings;1580
Fanø;2013;Occupied dwellings;1603
Fanø;2014;Occupied dwellings;1621
Fanø;2015;Occupied dwellings;1625
Fredericia;2010;Occupied dwellings;23514
Fredericia;2011;Occupied dwellings;23709
Fredericia;2012;Occupied dwellings;23784
Fredericia;2013;Occupied dwellings;23871
Fredericia;2014;Occupied dwellings;23920
Fredericia;2015;Occupied dwellings;24018
Haderslev;2010;Occupied dwellings;25828
Haderslev;2011;Occupied dwellings;25879
Haderslev;2012;Occupied dwellings;25946
Haderslev;2013;Occupied dwellings;25990
Haderslev;2014;Occupied dwellings;26074
Haderslev;2015;Occupied dwellings;26280
Kolding;2010;Occupied dwellings;40133
Kolding;2011;Occupied dwellings;40379
Kolding;2012;Occupied dwellings;40510
Kolding;2013;Occupied dwellings;40731
Kolding;2014;Occupied dwellings;40976
Kolding;2015;Occupied dwellings;41331
Sønderborg;2010;Occupied dwellings;35333
Sønderborg;2011;Occupied dwellings;35617
Sønderborg;2012;Occupied dwellings;35675
Sønderborg;2013;Occupied dwellings;35764
Sønderborg;2014;Occupied dwellings;35621
Sønderborg;2015;Occupied dwellings;35631
Tønder;2010;Occupied dwellings;18044
Tønder;2011;Occupied dwellings;18049
Tønder;2012;Occupied dwellings;17997
Tønder;2013;Occupied dwellings;17976
Tønder;2014;Occupied dwellings;17883
Tønder;2015;Occupied dwellings;17829
Varde;2010;Occupied dwellings;21694
Varde;2011;Occupied dwellings;21929
Varde;2012;Occupied dwellings;22026
Varde;2013;Occupied dwellings;22031
Varde;2014;Occupied dwellings;22148
Varde;2015;Occupied dwellings;22312
Vejen;2010;Occupied dwellings;18337
Vejen;2011;Occupied dwellings;18396
Vejen;2012;Occupied dwellings;18449
Vejen;2013;Occupied dwellings;18492
Vejen;2014;Occupied dwellings;18612
Vejen;2015;Occupied dwellings;18673
Vejle;2010;Occupied dwellings;47372
Vejle;2011;Occupied dwellings;47724
Vejle;2012;Occupied dwellings;48147
Vejle;2013;Occupied dwellings;48586
Vejle;2014;Occupied dwellings;49227
Vejle;2015;Occupied dwellings;49684
Aabenraa;2010;Occupied dwellings;27125
Aabenraa;2011;Occupied dwellings;27293
Aabenraa;2012;Occupied dwellings;27290
Aabenraa;2013;Occupied dwellings;27294
Aabenraa;2014;Occupied dwellings;27253
Aabenraa;2015;Occupied dwellings;27431
Region Midtjylland;2010;Occupied dwellings;565296
Region Midtjylland;2011;Occupied dwellings;568919
Region Midtjylland;2012;Occupied dwellings;572319
Region Midtjylland;2013;Occupied dwellings;577125
Region Midtjylland;2014;Occupied dwellings;581632
Region Midtjylland;2015;Occupied dwellings;585530
Province Østjylland;2010;Occupied dwellings;375615
Province Østjylland;2011;Occupied dwellings;378401
